Current (A)         Weight(gr)
<=0.05              6.5
0.06                12.7 
0.07                14.4                
0.08                16.7
0.09                18.2
0.10                20.1
0.11                23.8
0.12                25.5
0.13                27.5
0.14                30.5
0.15                31.9
0.175               37.5   
0.200               43.0
0.225               48.5
0.25                54.6
0.275               62.0
0.300               67.5
0.350               77.5
0.400               88.1
0.450               100.5
0.500               111.6
0.6                 135.4
0.7                 155.9
0.8                 177.9
0.9                 199.6
1.0                 222.6
